timeStamp,elapsed,label,responseCode,success,bytes,grpThreads,allThreads,Latency,Hostname
2013-12-26;18:12:27,8674,/app/user/login,200,true,2374,3,10,7469,CI
2013-12-26;18:12:21,14634,/,200,true,1993,7,10,14634,CI
2013-12-26;18:12:21,14634,Accueil,200,true,1993,7,10,14634,CI
2013-12-26;18:12:20,16157,/,200,true,1993,7,10,16157,CI
2013-12-26;18:12:20,16158,Accueil,200,true,1993,7,10,16157,CI
2013-12-26;18:12:34,1935,/account,200,true,2601,7,10,1934,CI
2013-12-26;18:12:34,1936,Vue_connectee,200,true,2601,7,10,1934,CI
2013-12-26;18:12:23,13513,/,200,true,1993,7,10,13513,CI
2013-12-26;18:12:23,13515,Accueil,200,true,1993,7,10,13513,CI
2013-12-26;18:12:35,1642,/,200,true,1945,7,10,1642,CI
2013-12-26;18:12:29,8050,Connexion,200,true,4277,7,10,6828,CI
2013-12-26;18:12:35,1766,/,200,true,1987,3,10,1766,CI
2013-12-26;18:12:27,10441,Connexion,200,true,4361,3,10,9235,CI
2013-12-26;18:12:35,1809,/app/user/logout,200,true,2321,3,10,601,CI
2013-12-26;18:12:36,1818,/app/user/logout,200,true,2321,7,10,658,CI
2013-12-26;18:12:37,1146,/,200,true,1934,3,10,1146,CI
2013-12-26;18:12:35,2957,Deconnexion,200,true,4255,3,10,1747,CI
2013-12-26;18:12:37,1889,/account,200,true,2556,7,10,1889,CI
2013-12-26;18:12:37,1889,Vue_connectee,200,true,2556,7,10,1889,CI
2013-12-26;18:12:38,1023,/,200,true,1934,7,10,1023,CI
2013-12-26;18:12:36,2844,Deconnexion,200,true,4255,7,10,1681,CI
2013-12-26;18:12:37,1865,/account,200,true,2603,3,10,1865,CI
2013-12-26;18:12:37,1865,Vue_connectee,200,true,2603,3,10,1865,CI
2013-12-26;18:12:38,1208,/,200,true,1992,3,10,1207,CI
2013-12-26;18:12:38,1208,Accueil,200,true,1992,3,10,1207,CI
2013-12-26;18:12:32,8486,/app/user/login,200,true,2374,7,10,6915,CI
2013-12-26;18:12:39,1274,/,200,true,1992,7,10,1274,CI
2013-12-26;18:12:39,1276,Accueil,200,true,1992,7,10,1274,CI
2013-12-26;18:12:39,1487,/app/user/logout,200,true,2321,7,10,665,CI
2013-12-26;18:12:39,1563,/app/user/logout,200,true,2321,3,10,561,CI
2013-12-26;18:12:32,8357,/app/user/login,200,true,2374,3,10,6733,CI
2013-12-26;18:12:40,1040,/,200,true,1934,7,10,1040,CI
2013-12-26;18:12:39,2527,Deconnexion,200,true,4255,7,10,1705,CI
2013-12-26;18:12:40,1612,/,200,true,1987,7,10,1612,CI
2013-12-26;18:12:32,10099,Connexion,200,true,4361,7,10,8527,CI
2013-12-26;18:12:41,1063,/,200,true,1934,3,10,1063,CI
2013-12-26;18:12:39,2627,Deconnexion,200,true,4255,3,10,1624,CI
2013-12-26;18:12:41,1609,/,200,true,1987,3,10,1609,CI
2013-12-26;18:12:32,9966,Connexion,200,true,4361,3,10,8342,CI
2013-12-26;18:12:41,1195,/,200,true,1992,7,10,1195,CI
2013-12-26;18:12:41,1196,Accueil,200,true,1992,7,10,1195,CI
2013-12-26;18:12:42,1025,/,200,true,1992,3,10,1024,CI
2013-12-26;18:12:42,1025,Accueil,200,true,1992,3,10,1024,CI
2013-12-26;18:12:42,2077,/account,200,true,2601,7,10,2076,CI
2013-12-26;18:12:42,2077,Vue_connectee,200,true,2601,7,10,2076,CI
2013-12-26;18:12:42,2087,/account,200,true,2603,3,10,2087,CI
2013-12-26;18:12:42,2087,Vue_connectee,200,true,2603,3,10,2087,CI
2013-12-26;18:12:33,12356,/app/user/login,200,true,2333,7,10,10545,CI
2013-12-26;18:12:36,9124,/app/user/login,200,true,2374,6,9,7814,CI
2013-12-26;18:12:44,1777,/app/user/logout,200,true,2321,5,8,629,CI
2013-12-26;18:12:44,1687,/app/user/logout,200,true,2321,3,7,710,CI
2013-12-26;18:12:46,826,/,200,true,1934,3,7,826,CI
2013-12-26;18:12:44,2516,Deconnexion,200,true,4255,3,7,1536,CI
2013-12-26;18:12:47,842,/,200,true,1992,3,7,842,CI
2013-12-26;18:12:40,8183,/app/user/login,200,true,2374,3,7,7315,CI
2013-12-26;18:12:47,843,Accueil,200,true,1992,3,7,842,CI
2013-12-26;18:12:36,12054,/app/user/login,200,true,2375,4,7,10724,CI
2013-12-26;18:12:36,12087,/app/user/login,200,true,2375,3,6,10788,CI
2013-12-26;18:12:40,8159,/app/user/login,200,true,2374,2,5,7229,CI
2013-12-26;18:12:48,775,/,200,true,1987,3,4,775,CI
2013-12-26;18:12:40,8959,Connexion,200,true,4361,3,4,8090,CI
2013-12-26;18:12:42,6894,/app/user/login,200,true,2332,1,4,6033,CI
2013-12-26;18:12:49,1027,/account,200,true,2601,3,3,1027,CI
2013-12-26;18:12:49,1028,Vue_connectee,200,true,2601,3,3,1027,CI
2013-12-26;18:12:50,726,/app/user/logout,200,true,2321,3,3,280,CI
2013-12-26;18:12:43,7703,/app/user/login,200,true,2374,3,3,7119,CI
2013-12-26;18:12:50,301,/,200,true,1934,3,3,301,CI
2013-12-26;18:12:50,1028,Deconnexion,200,true,4255,3,3,581,CI
2013-12-26;18:12:48,3050,/app/user/login,200,true,2374,3,3,2432,CI
2013-12-26;18:12:50,488,/,200,true,1987,3,3,488,CI
2013-12-26;18:12:43,8193,Connexion,200,true,4361,3,3,7607,CI
2013-12-26;18:12:51,385,/,200,true,1992,3,3,385,CI
2013-12-26;18:12:51,387,Accueil,200,true,1992,3,3,385,CI
2013-12-26;18:12:51,652,/,200,true,1987,3,3,652,CI
2013-12-26;18:12:48,3703,Connexion,200,true,4361,3,3,3084,CI
2013-12-26;18:12:51,719,/account,200,true,2602,3,3,718,CI
2013-12-26;18:12:51,719,Vue_connectee,200,true,2602,3,3,718,CI
2013-12-26;18:12:52,764,/account,200,true,2601,3,3,764,CI
2013-12-26;18:12:52,765,Vue_connectee,200,true,2601,3,3,764,CI
2013-12-26;18:12:52,662,/app/user/logout,200,true,2321,3,3,221,CI
2013-12-26;18:12:52,418,/,200,true,1934,3,3,418,CI
2013-12-26;18:12:52,1081,Deconnexion,200,true,4255,3,3,639,CI
2013-12-26;18:12:52,662,/app/user/logout,200,true,2321,3,3,237,CI
2013-12-26;18:12:53,408,/,200,true,1992,3,3,408,CI
2013-12-26;18:12:53,408,Accueil,200,true,1992,3,3,408,CI
2013-12-26;18:12:53,376,/,200,true,1934,3,3,376,CI
2013-12-26;18:12:52,1038,Deconnexion,200,true,4255,3,3,613,CI
2013-12-26;18:12:53,356,/,200,true,1992,3,3,356,CI
2013-12-26;18:12:53,356,Accueil,200,true,1992,3,3,356,CI
2013-12-26;18:12:51,2716,/app/user/login,200,true,2332,3,3,2104,CI
2013-12-26;18:12:54,684,/,200,true,1945,3,3,684,CI
2013-12-26;18:12:51,3400,Connexion,200,true,4277,3,3,2788,CI
2013-12-26;18:12:54,823,/account,200,true,2558,3,3,823,CI
2013-12-26;18:12:54,824,Vue_connectee,200,true,2558,3,3,823,CI
2013-12-26;18:12:55,599,/app/user/logout,200,true,2321,3,3,218,CI
2013-12-26;18:12:53,2685,/app/user/login,200,true,2374,3,3,2036,CI
2013-12-26;18:12:56,431,/,200,true,1934,3,3,431,CI
2013-12-26;18:12:55,1031,Deconnexion,200,true,4255,3,3,649,CI
2013-12-26;18:12:56,641,/,200,true,1987,3,3,641,CI
2013-12-26;18:12:53,3328,Connexion,200,true,4361,3,3,2677,CI
2013-12-26;18:12:54,2982,/app/user/login,200,true,2374,3,3,2510,CI
2013-12-26;18:12:56,385,/,200,true,1992,3,3,385,CI
2013-12-26;18:12:56,386,Accueil,200,true,1992,3,3,385,CI
2013-12-26;18:12:57,718,/,200,true,1987,3,3,718,CI
2013-12-26;18:12:54,3703,Connexion,200,true,4361,3,3,3228,CI
2013-12-26;18:12:57,965,/account,200,true,2602,3,3,965,CI
2013-12-26;18:12:57,965,Vue_connectee,200,true,2602,3,3,965,CI
2013-12-26;18:12:57,645,/app/user/logout,200,true,2321,3,3,262,CI
2013-12-26;18:12:57,823,/account,200,true,2599,3,3,823,CI
2013-12-26;18:12:57,823,Vue_connectee,200,true,2599,3,3,823,CI
2013-12-26;18:12:58,393,/,200,true,1934,3,3,393,CI
2013-12-26;18:12:57,1040,Deconnexion,200,true,4255,3,3,655,CI
2013-12-26;18:12:58,655,/app/user/logout,200,true,2321,3,3,234,CI
2013-12-26;18:12:59,420,/,200,true,1992,3,3,420,CI
2013-12-26;18:12:59,422,Accueil,200,true,1992,3,3,420,CI
2013-12-26;18:12:59,403,/,200,true,1934,3,3,403,CI
2013-12-26;18:12:58,1060,Deconnexion,200,true,4255,3,3,637,CI
2013-12-26;18:12:57,2843,/app/user/login,200,true,2332,3,3,2293,CI
2013-12-26;18:12:59,398,/,200,true,1992,3,3,398,CI
2013-12-26;18:12:59,398,Accueil,200,true,1992,3,3,398,CI
2013-12-26;18:13:00,655,/,200,true,1945,3,3,655,CI
2013-12-26;18:12:57,3500,Connexion,200,true,4277,3,3,2948,CI
2013-12-26;18:13:00,911,/account,200,true,2556,3,3,911,CI
2013-12-26;18:13:00,911,Vue_connectee,200,true,2556,3,3,911,CI
2013-12-26;18:12:59,2666,/app/user/login,200,true,2374,3,3,2019,CI
2013-12-26;18:13:01,629,/app/user/logout,200,true,2321,3,3,222,CI
2013-12-26;18:13:02,380,/,200,true,1934,3,3,380,CI
2013-12-26;18:13:01,1011,Deconnexion,200,true,4255,3,3,602,CI
2013-12-26;18:13:02,597,/,200,true,1987,3,3,597,CI
2013-12-26;18:12:59,3264,Connexion,200,true,4361,3,3,2616,CI
2013-12-26;18:13:02,404,/,200,true,1992,3,3,404,CI
2013-12-26;18:13:02,404,Accueil,200,true,1992,3,3,404,CI
2013-12-26;18:13:00,2955,/app/user/login,200,true,2374,3,3,2481,CI
2013-12-26;18:13:02,773,/account,200,true,2601,3,3,773,CI
2013-12-26;18:13:02,774,Vue_connectee,200,true,2601,3,3,773,CI
2013-12-26;18:13:03,625,/,200,true,1987,3,3,625,CI
2013-12-26;18:13:00,3582,Connexion,200,true,4361,3,3,3106,CI
2013-12-26;18:13:03,606,/app/user/logout,200,true,2321,3,3,205,CI
2013-12-26;18:13:04,380,/,200,true,1934,3,3,380,CI
2013-12-26;18:13:03,987,Deconnexion,200,true,4255,3,3,585,CI
2013-12-26;18:13:03,767,/account,200,true,2600,3,3,767,CI
2013-12-26;18:13:03,768,Vue_connectee,200,true,2600,3,3,767,CI
2013-12-26;18:13:04,416,/,200,true,1992,3,3,416,CI
2013-12-26;18:13:04,418,Accueil,200,true,1992,3,3,416,CI
2013-12-26;18:13:04,646,/app/user/logout,200,true,2321,3,3,230,CI
2013-12-26;18:13:05,443,/,200,true,1934,3,3,443,CI
2013-12-26;18:13:04,1090,Deconnexion,200,true,4255,3,3,673,CI
2013-12-26;18:13:02,2674,/app/user/login,200,true,2332,3,3,1980,CI
2013-12-26;18:13:05,415,/,200,true,1992,3,3,415,CI
2013-12-26;18:13:05,416,Accueil,200,true,1992,3,3,415,CI
